novel_gene	CIPK31	TAF6	PP2A	SRPRa	FPS	best_r	best_known
MSTRG.333.1	0.71	0.9805	0.9685	0.9029	0.9626	0.9805	TAF6
MSTRG.4687.1	0.7498	0.9883	0.9746	0.9046	0.9618	0.9883	TAF6
MSTRG.6647.1	0.6889	0.9735	0.9462	0.8562	0.9313	0.9735	TAF6
MSTRG.14681.1	0.7094	0.9638	0.9254	0.821	0.8982	0.9638	TAF6
MSTRG.14874.2	0.7629	0.9866	0.9848	0.9229	0.9766	0.9866	TAF6
MSTRG.20738.1	0.7096	0.9791	0.9534	0.8676	0.9375	0.9791	TAF6
MSTRG.31255.1	0.7793	0.9712	0.9896	0.9624	0.9925	0.9925	FPS
MSTRG.36758.1	0.7646	0.9877	0.9732	0.8971	0.9564	0.9877	TAF6
MSTRG.45758.1	0.7445	0.9867	0.9795	0.9187	0.9722	0.9867	TAF6
MSTRG.45757.2	0.7719	0.9888	0.9734	0.8987	0.9557	0.9888	TAF6
