gene_id,DRR095904,DRR095905,DRR095906,DRR095907,DRR095908,DRR095909
gene-QOZ80_1AG0000050,2,13,4,33,22,15
MSTRG.1,250,409,312,1144,933,663
MSTRG.3,5,29,8,131,100,69
MSTRG.2,81,84,128,753,599,129
MSTRG.6,295,442,459,720,472,308
MSTRG.9,27,0,31,205,184,139
MSTRG.8,50,64,87,368,214,177
MSTRG.7,9,12,7,21,37,14
MSTRG.11,15,17,9,4,14,11
MSTRG.10,221,248,258,2597,1816,1272
MSTRG.12,72,145,151,98,67,58
MSTRG.13,18,40,11,347,244,155
MSTRG.14,182,332,187,445,353,200
MSTRG.19,122,83,113,735,618,433
MSTRG.20,0,10,14,127,115,32
MSTRG.18,276,298,228,786,738,457
MSTRG.21,128,72,117,1354,1487,832
MSTRG.22,5,7,4,121,105,58
MSTRG.23,17,11,24,115,111,81
MSTRG.24,321,399,385,1033,1091,988
MSTRG.25,288,485,451,439,283,166
MSTRG.27,18,58,67,45,47,20
MSTRG.28,2,24,1,5,3,5
MSTRG.29,31,37,45,473,386,276
MSTRG.30,13,35,42,38,33,22
MSTRG.26,1282,1697,1740,2187,1379,1302
MSTRG.31,724,829,927,172,233,230
MSTRG.32,198,136,179,383,317,243
MSTRG.33,0,0,9,45,48,31
MSTRG.34,76,186,86,530,325,151
MSTRG.35,0,0,11,40,41,35
MSTRG.36,1329,1147,1749,299,541,379
MSTRG.39,0,13,6,8,13,7
MSTRG.37,243,294,337,956,853,551
MSTRG.17,90,60,83,271,280,166
MSTRG.15,51945,72680,81284,17196,20334,19404
MSTRG.16,17,63,20,6,10,3
MSTRG.41,41,31,34,226,170,145
MSTRG.40,1215,1654,1496,3360,2345,1772
MSTRG.42,212,280,226,796,655,568
MSTRG.43,101,69,109,625,571,322
MSTRG.44,37,21,33,48,87,29
MSTRG.46,19,32,78,309,224,107
MSTRG.47,5,63,51,161,144,98
MSTRG.45,441,416,547,1437,1115,768
MSTRG.48,73,27,53,189,153,124
MSTRG.49,38,0,10,7,20,7
MSTRG.50,151,186,232,1189,1012,818
MSTRG.51,1048,1818,1612,1571,1575,1224
MSTRG.52,133,196,176,245,327,150
MSTRG.55,4,0,7,19,8,13
MSTRG.54,12,0,0,26,9,0
MSTRG.56,25,50,79,116,72,67
MSTRG.53,437,473,788,665,685,417
MSTRG.57,618,746,910,1894,1540,985
MSTRG.58,128,203,238,1407,1244,734
MSTRG.60,1387,2267,2748,2441,2299,2591
MSTRG.62,43,26,91,11,25,6
MSTRG.61,968,715,731,263,395,244
MSTRG.63,184,168,301,226,267,208
MSTRG.64,89,69,116,194,130,107
MSTRG.66,604,490,337,57,166,168
MSTRG.67,232,62,62,465,579,399
MSTRG.68,307,518,407,333,177,120
MSTRG.70,48,112,57,243,229,163
MSTRG.69,208,255,304,282,211,106
MSTRG.72,6,4,4,50,78,28
MSTRG.71,897,847,1216,3429,2743,1603
