transcript_id	baseMean	log2FoldChange_MLE	lfcSE_MLE	stat	pvalue	padj	log2FoldChange_apeglm	lfcSE_apeglm	is_novel_class_u	zero_in_all_controls	ctrl_raw_sum	drt_raw_sum	ctrl_n_nonzero	rank_by_padj
rna-ELECO.r07.1AG0044510.1	4399.82297658421	-5.8285964440625	0.13593832582	-42.8767708363594	0	0	-5.82214474340711	0.136036059175915	FALSE	FALSE	17721	741	3	1
MSTRG.1993.1	29812.8470705561	-10.2940079114166	0.304570058645937	-33.7984894417458	2.07559534004149e-250	7.98242833849856e-246	-10.2745058690221	0.304919732562127	FALSE	FALSE	120072	229	3	2
rna-ELECO.r07.2BG0161000.1	19442.7689805498	-6.42209499997626	0.207247835213723	-30.9875130582353	7.94114490314501e-211	2.03603014171735e-206	-6.4085862002595	0.207457786602614	FALSE	FALSE	79202	2160	3	3
MSTRG.17015.2	1312.7407996327	-3.86439484693297	0.144828815555824	-26.6824998333528	7.5139551038042e-157	1.44487721179827e-152	-3.85463435088536	0.145017407880901	FALSE	FALSE	5020	819	3	4
rna-ELECO.r07.1BG0084080.1	24544.7302566906	-5.18238698347279	0.195967118064431	-26.4451864917915	4.14486281453074e-154	6.37620826210522e-150	-5.16796809999042	0.196192856293466	FALSE	FALSE	98361	6282	3	5
rna-ELECO.r07.1BG0080700.1	57586.3284320131	-11.3794171917477	0.43444741668126	-26.1928527016571	3.20544996460465e-151	3.83704320571857e-147	-11.3433652064812	0.435814765250827	FALSE	FALSE	232837	196	3	6
rna-ELECO.r07.5AG0392370.1	3042.08785558475	-5.01923129157572	0.191649872361431	-26.1895884914026	3.49198518403343e-151	3.83704320571857e-147	-5.0059164107393	0.191906019800107	FALSE	FALSE	12158	883	3	7
rna-ELECO.r07.3AG0218680.1	817.032321136021	-4.84316310636125	0.1894534437834	-25.5638694638794	3.84989803961396e-144	3.70153259391234e-140	-4.82923481542856	0.189442491874427	FALSE	FALSE	3242	271	3	8
rna-ELECO.r07.1BG0076440.1	59639.0822531556	-8.78042838803108	0.348051103767901	-25.2274114145213	2.00467511683553e-140	1.71326217735154e-136	-8.75443160385775	0.3487702174896	FALSE	FALSE	242833	1254	3	9
rna-ELECO.r07.1AG0030740.1	17316.3171340622	-13.7415430420403	0.556923043003132	-24.674042876626	2.03201418887588e-134	1.56296435365766e-130	-13.6940160931573	0.559659037035332	FALSE	FALSE	70679	12	3	10
rna-ELECO.r07.9AG0693400.1	6799.20670718442	-6.23525768505521	0.253613080359828	-24.5857101542578	1.7961422042614e-133	1.25594427204704e-129	-6.2144959617016	0.254066189698921	FALSE	FALSE	27616	848	3	11
rna-ELECO.r07.7AG0569670.1	7218.26180564779	-5.42148531873032	0.221631587020701	-24.4616996683958	3.77837002183694e-132	2.42184072474693e-128	-5.40365735854252	0.221821994565418	FALSE	FALSE	28795	1646	3	12
rna-ELECO.r07.1BG0049580.1	6504.3836728589	8.03612535767052	0.329586300782358	24.3824617060682	2.62504294659905e-131	1.55315714095046e-127	8.00974556248326	0.329687168625523	FALSE	FALSE	102	65061	3	13
MSTRG.31575.1	907.002188002881	-4.39503261311384	0.181312719722128	-24.2400677671676	8.41593042489847e-130	4.62377228922797e-126	-4.38129062068944	0.181353673513142	FALSE	FALSE	3540	406	3	14
MSTRG.22414.1	8615.60642656479	-5.69440937446468	0.242498322604635	-23.4822629422833	6.19165748113929e-122	3.17495812317861e-118	-5.67394378418474	0.242917617334293	FALSE	FALSE	34679	1546	3	15
rna-ELECO.r07.7BG0601480.1	6103.2080477629	-5.0027849491172	0.213769341128146	-23.4027242761544	4.00916540294986e-121	1.92733109561684e-117	-4.98448706695605	0.213943721700234	FALSE	FALSE	23997	1813	3	16
rna-ELECO.r07.8AG0614730.1	24044.8087330478	-5.67223509405118	0.246159161144319	-23.0429575226154	1.73062758596167e-117	7.83027541349492e-114	-5.65115207977565	0.246518554694232	FALSE	FALSE	96745	4382	3	17
rna-ELECO.r07.3AG0208300.1	3167.52366129901	-4.30721152209155	0.190308159219333	-22.6328263578411	2.05971079687888e-113	8.80148752019627e-110	-4.29121441562864	0.19061108974798	FALSE	FALSE	12443	1472	3	18
rna-ELECO.r07.2AG0136140.1	5148.05435739205	-3.45966896641844	0.154555421057021	-22.3846497441331	5.55401218520917e-111	2.24841029078807e-107	-3.44924413324581	0.154795881903617	FALSE	FALSE	19277	4195	3	19
rna-ELECO.r07.2AG0112770.1	12259.0374732101	-4.20177108019443	0.18896905634303	-22.2352334371988	1.56751279159332e-109	6.02841906954917e-106	-4.18597367622659	0.189239325956976	FALSE	FALSE	48014	6073	3	20
rna-ELECO.r07.5AG0380200.1	2330.52404589347	-5.96177211449447	0.269401454976245	-22.1296953092557	1.63679394410597e-108	5.99510856184755e-105	-5.93794133961159	0.270098757484726	FALSE	FALSE	9277	352	3	21
rna-ELECO.r07.2AG0107360.1	24629.8150445295	-7.51927151873461	0.340220187191751	-22.1011915277581	3.07835951268949e-108	1.07626444835244e-104	-7.48835872046788	0.340872082339209	FALSE	FALSE	101104	1245	3	22
MSTRG.18147.1	1406.56831834524	-3.43845992697716	0.157556869276801	-21.8236116442271	1.38479149847672e-105	4.63104381253626e-102	-3.42534357782058	0.1576594064623	FALSE	FALSE	5280	1170	3	23
MSTRG.2906.1	1458.00984208201	4.81158059498664	0.222742140738257	21.6015729176308	1.73602698867852e-103	5.56374949534108e-100	4.79309940769148	0.22311501936319	FALSE	FALSE	205	13599	3	24
rna-ELECO.r07.1AG0033270.1	3756.84241316966	-3.97462185559882	0.184211920352951	-21.5763553627986	2.99571569564823e-103	9.216858566487e-100	-3.95894010936555	0.184548231445289	FALSE	FALSE	14484	2150	3	25
rna-ELECO.r07.7BG0591310.1	991.637812942073	5.72210805313653	0.269905210577894	21.2004356673401	9.46165499623084e-100	2.79908506671188e-96	5.69871341023286	0.269814382515131	FALSE	FALSE	76	9546	3	26
MSTRG.2595.1	1498.21780170564	-2.93384943960592	0.140074265333705	-20.9449568242708	2.08587812244837e-97	5.94220324238375e-94	-2.92264218668854	0.140246721490136	FALSE	FALSE	5438	1687	3	27
rna-ELECO.r07.1BG0064200.1	2315.63945874378	-2.24601588662783	0.10728966848497	-20.9341301762199	2.61799748666466e-97	7.19173259577807e-94	-2.23858527596617	0.107355942058587	FALSE	FALSE	7864	3943	3	28
rna-ELECO.r07.8BG0641990.1	14784.3548770389	-6.6602835047454	0.321055305934447	-20.7449725378633	1.36102137754962e-95	3.60985107920634e-92	-6.62864116621774	0.321557138558282	FALSE	FALSE	58868	1425	3	29
rna-ELECO.r07.7AG0557150.1	7684.2345916329	-4.23719816170177	0.205331662933269	-20.6358732071382	1.30762200529321e-94	3.35261205937127e-91	-4.21703393696056	0.205630108353397	FALSE	FALSE	29536	3786	3	30
rna-ELECO.r07.6AG0551540.1	8719.06504762797	-3.96001493443386	0.19262259599018	-20.5584132748152	6.47149235146148e-94	1.60570250708827e-90	-3.94195283173287	0.192861154622389	FALSE	FALSE	33694	5050	3	31
rna-ELECO.r07.7AG0572420.1	5312.92004556352	-3.36289511754329	0.164015892490658	-20.5034711360964	2.0047092508455e-93	4.8186319202276e-90	-3.35005568994988	0.164223789712487	FALSE	FALSE	19988	4563	3	32
rna-ELECO.r07.6AG0547740.1	2968.38719567262	6.92372857647391	0.339077526627622	20.4193083668373	1.12647693366285e-92	2.62561291838016e-89	6.89326250777651	0.339460005924977	FALSE	FALSE	100	27634	3	33
rna-ELECO.r07.6BG0459650.1	37922.6030444139	-5.12038861478088	0.250824221524497	-20.4142509988047	1.24931662953131e-92	2.82628491746058e-89	-5.09538502942906	0.251249851330109	FALSE	FALSE	151769	9970	3	34
rna-ELECO.r07.2BG0166120.1	9839.20174152714	-4.5958087188741	0.226459643577902	-20.2941621132294	1.44802045620227e-91	3.18221112656314e-88	-4.57463355484209	0.226878221868504	FALSE	FALSE	39116	3728	3	35
rna-ELECO.r07.3AG0239330.1	2248.20852152465	-6.48759801746216	0.320000412821908	-20.2737176500855	2.19436948637942e-91	4.6884532717735e-88	-6.45576752015946	0.321255399060146	FALSE	FALSE	9047	232	3	36
MSTRG.37475.1	832.590119060597	-5.58329306827542	0.276488333428566	-20.1935937008276	1.11455017103754e-90	2.31696906772148e-87	-5.55684620141291	0.276714920324579	TRUE	FALSE	3372	168	3	37
MSTRG.34331.2	2366.44379628234	-3.88917622048319	0.194294348056765	-20.0169292590381	3.92158016333422e-89	7.93779424797837e-86	-3.87152460836418	0.194564382341438	FALSE	FALSE	9030	1472	3	38
MSTRG.46134.1	3862.03781684756	-5.88711579193788	0.294549157720429	-19.98687023076	7.16514095667682e-89	1.41313114606336e-85	-5.85793475564744	0.295184270749515	TRUE	FALSE	15391	605	3	39
MSTRG.24665.1	1483.81078484546	-10.0068025054263	0.504843766292594	-19.8215827817644	1.93912948690178e-87	3.7288005686006e-84	-9.95544140911868	0.50390532322538	FALSE	FALSE	6045	14	3	40
rna-ELECO.r07.8AG0620620.1	1278.52213035771	2.39411268374978	0.121130671979146	19.7647106602526	5.99410352867984e-87	1.12450844174504e-83	2.38529524288291	0.121212357815109	FALSE	FALSE	839	10510	3	41
rna-ELECO.r07.9BG0719160.1	7102.68800150692	-6.8775988913795	0.352120843660222	-19.5319277890179	5.87781577678903e-85	1.0764379907221e-81	-6.8409310467818	0.353252604377541	FALSE	FALSE	29012	553	3	42
rna-ELECO.r07.4BG0332180.1	669.653518065261	-4.39945186225044	0.227203610671225	-19.3634768798488	1.56927661938466e-83	2.80707092402813e-80	-4.37777580141275	0.227297869508922	FALSE	FALSE	2643	301	3	43
rna-ELECO.r07.8BG0655170.1	2127.25663431873	5.70654646614006	0.295911848678103	19.2846163194625	7.23246048991186e-83	1.26431628068762e-79	5.67826477020381	0.296484477862082	FALSE	FALSE	164	20555	3	44
MSTRG.2745.1	746.499060034961	-3.24832446465797	0.169995612432952	-19.1082841384459	2.15436837595504e-81	3.60233809507247e-78	-3.23308825836738	0.170378153896086	FALSE	FALSE	2774	685	3	45
MSTRG.46248.1	1787.16751468687	-6.0264449347085	0.315383645115268	-19.1082988228699	2.15376231117989e-81	3.60233809507247e-78	-5.99395355989626	0.315928444606808	FALSE	FALSE	7196	267	3	46
MSTRG.16057.1	1645.75181291635	-5.2518959693285	0.277655851706321	-18.915127979667	8.56124041217605e-80	1.40107431656031e-76	-5.22325896706518	0.2784317948413	FALSE	FALSE	6580	402	3	47
MSTRG.41849.1	28632.0218161166	-4.57342294146855	0.241834489528341	-18.91137591825	9.19266661573189e-80	1.47306737100469e-76	-4.55137127176913	0.242246727031999	FALSE	FALSE	112211	11037	3	48
rna-ELECO.r07.4AG0316100.1	678.549657397912	-4.81202895602085	0.258444951177456	-18.6191640970257	2.24694057178145e-77	3.52710057060641e-74	-4.78518196422046	0.258743326912659	FALSE	FALSE	2699	230	3	49
MSTRG.17691.1	2336.64215390482	-2.38645592688154	0.128726813440093	-18.5389186845067	1.00216410334985e-76	1.54166912674721e-73	-2.37670584394663	0.128863104701409	FALSE	FALSE	8058	3636	3	50
rna-ELECO.r07.6AG0507570.1	36178.4638671115	-4.90825711763473	0.264795905369061	-18.5360008146418	1.05802944212769e-76	1.59569510980658e-73	-4.88742503203789	0.265377470354112	FALSE	FALSE	144222	10933	3	51
rna-ELECO.r07.5BG0438900.1	1742.65819974778	-4.16370734798943	0.2254703019524	-18.4667661857677	3.823113588997e-76	5.65504669086312e-73	-4.14118601144181	0.226031137322145	FALSE	FALSE	6758	881	3	52
rna-ELECO.r07.3AG0230260.1	4230.78084057382	-9.90569923143771	0.537807961818593	-18.4186548632372	9.30881624115538e-76	1.35095512985085e-72	-9.84382792999165	0.540993601875378	FALSE	FALSE	17456	41	3	53
rna-ELECO.r07.8AG0614520.1	5277.5964311868	-5.62303046768985	0.305557865599594	-18.402506041387	1.25427544723799e-75	1.78657601065193e-72	-5.5898723574375	0.306140021996816	FALSE	FALSE	21081	1058	3	54
MSTRG.13407.1	2689.5053279076	5.9119032744952	0.322202381998583	18.3484157932799	3.39878408451663e-75	4.75316864415938e-72	5.87937736011341	0.32306713135987	FALSE	FALSE	179	26792	3	55
rna-ELECO.r07.5AG0362340.1	15015.6028639749	-4.33210888742802	0.238027592988569	-18.2000281271427	5.15812931643938e-74	7.08478272558157e-71	-4.30502388546966	0.238446564315198	FALSE	FALSE	58486	6746	3	56
rna-ELECO.r07.2BG0168520.1	2283.12894031119	-4.55200921300815	0.250129387178765	-18.1986181805774	5.29260764475917e-74	7.14195617915686e-71	-4.52586896022323	0.250779140562997	FALSE	FALSE	8892	890	3	57
rna-ELECO.r07.2AG0118470.1	5040.89737180744	-7.56172603400681	0.419163950134504	-18.0400199768619	9.45097531576735e-73	1.253345979936e-69	-7.51428711730134	0.421054627758438	FALSE	FALSE	20486	241	3	58
MSTRG.12380.1	16654.9746401367	-4.09701602568632	0.227452811952162	-18.012597824238	1.55172164442281e-72	2.02294531735711e-69	-4.07362944624416	0.22793164735442	FALSE	FALSE	65052	8747	3	59
MSTRG.13020.1	718.935530798815	3.46840166116392	0.192609608631067	18.0074176247741	1.70394536887649e-72	2.18437276563122e-69	3.45041844727299	0.193016261124807	FALSE	FALSE	243	6489	3	60
rna-ELECO.r07.2BG0199890.1	3579.14932231916	-7.30738111744771	0.41058071207025	-17.797672668553	7.36672977073155e-71	9.28896317664523e-68	-7.25921448133602	0.412598420825815	FALSE	FALSE	14559	207	3	61
rna-ELECO.r07.8AG0638990.1	1379.8126765923	-3.74561413632224	0.210542738851571	-17.7902793359349	8.40598188461939e-71	1.04284340099882e-67	-3.72428719365335	0.210945522517131	FALSE	FALSE	5248	935	3	62
MSTRG.25215.1	658.319357892562	-3.09079229278804	0.174399218492229	-17.7225122882403	2.81074526573613e-70	3.43165227943851e-67	-3.07427840209024	0.174715889786112	FALSE	FALSE	2409	673	3	63
rna-ELECO.r07.5BG0452200.1	757.060723544282	-4.71986099446625	0.266868672717405	-17.686081121497	5.3681464771542e-70	6.45158941536359e-67	-4.69121370027695	0.267996873276245	FALSE	FALSE	3002	262	3	64
MSTRG.42398.1	383.818850143501	-4.0237582256525	0.228534958450387	-17.6067515137997	2.18638167056533e-69	2.58722952238267e-66	-4.00032969093173	0.228672408200544	FALSE	FALSE	1490	220	3	65
rna-ELECO.r07.5AG0385250.1	1494.97030521689	-3.82738792463646	0.217792371441683	-17.573562835562	3.92716115169326e-69	4.57674930764834e-66	-3.80350261452939	0.218327263057603	FALSE	FALSE	5748	942	3	66
MSTRG.4939.1	243.443221570458	-4.68174290901067	0.266937398237912	-17.5387298292239	7.2530465175236e-69	8.32660565654272e-66	-4.65348075591502	0.266864066755848	TRUE	FALSE	963	90	3	67
MSTRG.7580.2	5261.24232671489	-3.92300494142526	0.224393808840199	-17.4826790529635	1.94158659983753e-68	2.19619141911329e-65	-3.89936621579075	0.224814135609978	FALSE	FALSE	20413	3170	3	68
MSTRG.37884.1	453.797070194611	-8.09819915891747	0.463473974274743	-17.472823952175	2.3078369698013e-68	2.57263617690154e-65	-8.04758798854881	0.463058230016624	TRUE	FALSE	1853	16	3	69
MSTRG.29687.1	10016.0417007149	2.83955327952684	0.162991373293375	17.4214942923132	5.66773995679071e-68	6.2277936322353e-65	2.81325209296562	0.163502783880681	FALSE	FALSE	5023	85940	3	70
MSTRG.44036.1	2918.83084792375	-3.74097041643278	0.215440460673807	-17.3642889767902	1.53793224634041e-67	1.66610048720796e-64	-3.72863235855847	0.216135298097197	FALSE	FALSE	11134	1958	3	71
rna-ELECO.r07.3BG0297590.1	5146.37652680713	-10.8341564848224	0.625503307374697	-17.3207021563076	3.28327011952098e-67	3.50749010809994e-64	-10.7557996423576	0.628053952681212	FALSE	FALSE	20788	27	3	72
rna-ELECO.r07.5AG0383070.1	5842.60939788176	-8.00413605687396	0.464207323148005	-17.2425889419284	1.27210110537945e-66	1.34035891400645e-63	-7.94891828891247	0.465122470614486	FALSE	FALSE	23317	226	3	73
MSTRG.20778.2	8780.77308063738	-4.67072473716107	0.271485399930448	-17.2043312029216	2.46405191851193e-66	2.56118218129975e-63	-4.64044932910439	0.27218180755984	FALSE	FALSE	34677	3131	3	74
rna-ELECO.r07.3AG0247170.1	1417.63071195747	-3.25579434524355	0.189592213903907	-17.172616312681	4.25787630729876e-66	4.36670762571331e-63	-3.23684827742782	0.189866394387011	FALSE	FALSE	5273	1333	3	75
rna-ELECO.r07.2AG0108240.1	7197.59499152766	-4.37778857373308	0.255195923776588	-17.1546179458792	5.80505579610314e-66	5.87509837722191e-63	-4.34998619114346	0.255838457451938	FALSE	FALSE	28150	3103	3	76
