transcript_id	baseMean	log2FoldChange_MLE	lfcSE_MLE	pvalue	padj	log2FoldChange_apeglm	lfcSE_apeglm	is_novel_class_u	rank_by_padj
rna-ELECO.r07.1BG0080700.1	57586.3284320131	-11.4461593814629	0.686059374586808	1.71582357135463e-62	1.17839331233493e-57	-11.3547726931743	0.701511131378364	FALSE	1
rna-ELECO.r07.1AG0030740.1	17316.3171340622	-13.7339996109761	0.827744447455961	7.95220663367141e-62	2.73070823593642e-57	-13.6251266973931	0.837148396178788	FALSE	2
MSTRG.1993.1	29812.8470705561	-10.2713911237161	0.620023294889414	1.22442634608448e-61	2.80303841987967e-57	-10.1915558256092	0.626275055748878	FALSE	3
rna-ELECO.r07.1BG0076440.1	59639.0822531556	-8.8276969347107	0.604688167412429	2.86003391035353e-48	4.91053522238149e-44	-8.73906999606586	0.611239828783486	FALSE	4
rna-ELECO.r07.1AG0025990.1	17340.3770445259	-8.68825756423736	0.598074312232138	8.16579631523106e-48	1.12162111867488e-43	-8.59799552724447	0.602795908925283	FALSE	5
rna-ELECO.r07.3AG0230260.1	4230.78084057382	-10.0356495083049	0.761395080141358	1.13473765491582e-39	1.27386131882612e-35	-9.91092379928211	0.782867481958653	FALSE	6
MSTRG.24665.1	1483.81078484546	-9.98912667661653	0.758450471928822	1.2983821939752e-39	1.27386131882612e-35	-9.87096557496537	0.760287443321407	FALSE	7
rna-ELECO.r07.2AG0107360.1	24629.8150445295	-7.53928846194963	0.576546925885678	4.47883785956521e-39	3.84497033149024e-35	-7.44801692161683	0.581052720345717	FALSE	8
MSTRG.21155.1	31632.5913666976	-7.39536130600934	0.584603406790836	1.11562966462683e-36	8.51324601191571e-33	-7.29964185436867	0.590147256838847	FALSE	9
MSTRG.21698.1	1312.15087157031	-9.99441295890853	0.79447819769151	2.72562508741374e-36	1.87190479753401e-32	-9.86778726944797	0.799385610516071	TRUE	10
rna-ELECO.r07.1BG0049580.1	6504.3836728589	8.03784352874062	0.647051104386229	1.97866308845254e-35	1.09733087940772e-31	7.93702208982046	0.656925716029734	FALSE	11
rna-ELECO.r07.3BG0297590.1	5146.37652680713	-11.0171914713576	0.887167830531768	2.07712825538023e-35	1.09733087940772e-31	-10.8528860840517	0.937674014953884	FALSE	12
rna-ELECO.r07.4AG0321060.1	40783.2766833283	-10.7422618206205	0.864730231477709	1.96869308354991e-35	1.09733087940772e-31	-10.5732823298633	0.935686926601184	FALSE	13
rna-ELECO.r07.8AG0628770.1	4024.65078987102	-10.4232104874893	0.85999783896136	8.27160832071763e-34	4.05769654464461e-30	-10.2582500207463	0.905059080774123	FALSE	14
rna-ELECO.r07.5AG0378500.1	3443.00339501066	-8.69335599431627	0.730070543946569	1.0809921550923e-32	4.94935861516193e-29	-8.56171584353134	0.752677646948927	FALSE	15
rna-ELECO.r07.2AG0118470.1	5040.89737180744	-7.63840321081179	0.647922216095795	4.44398150061168e-32	1.90752350936881e-28	-7.52274826371992	0.66026519643306	FALSE	16
rna-ELECO.r07.9BG0719160.1	7102.68800150692	-6.91724858936626	0.594295908972786	2.59833027584312e-31	1.04969486284914e-27	-6.81332099245989	0.600961151487043	FALSE	17
rna-ELECO.r07.2BG0161000.1	19442.7689805498	-6.41483876899049	0.555728291393768	7.99702361127455e-31	3.05121993097285e-27	-6.31699652511898	0.559435477230287	FALSE	18
MSTRG.1688.1	38592.1750160186	-8.9531984959078	0.788158311542071	6.64140877059755e-30	2.40062458708999e-26	-8.79493706548358	0.833170516186263	FALSE	19
rna-ELECO.r07.5AG0383070.1	5842.60939788176	-8.06518197484817	0.712489243720817	1.04800704952039e-29	3.59875140734806e-26	-7.92782027426616	0.736435267020366	FALSE	20
rna-ELECO.r07.8AG0633370.1	3089.36424958026	-10.6735314106323	0.949666247281535	2.61610773322734e-29	8.55566890012321e-26	-10.4756432164541	1.01533302294053	FALSE	21
rna-ELECO.r07.6AG0547740.1	2968.38719567262	6.91545742749608	0.623919178320283	1.50185933151443e-28	4.68839523498854e-25	6.8073732153191	0.631473703863579	FALSE	22
rna-ELECO.r07.2BG0199890.1	3579.14932231916	-7.3755596772445	0.668963060532356	2.88357086692491e-28	8.6103426086378e-25	-7.24733709683025	0.684732554537696	FALSE	23
rna-ELECO.r07.8BG0662440.1	2777.29109981661	-10.2007799514478	0.932202960049583	7.20543611266438e-28	2.06189558893985e-24	-10.0003675835094	1.0017090746578	FALSE	24
rna-ELECO.r07.4BG0359670.1	3903.96080809051	-6.39788069827365	0.587179025341	1.20485683252043e-27	3.30988630175352e-24	-6.28867858788678	0.593493178459794	FALSE	25
rna-ELECO.r07.9AG0693400.1	6799.20670718442	-6.25065492822262	0.575955843126581	1.93697280754344e-27	5.11643917217186e-24	-6.1437137473001	0.581180477198192	FALSE	26
rna-ELECO.r07.1AG0030750.1	2482.3309532867	-12.7887306947264	1.18461308857885	3.60692755706528e-27	9.17468780607886e-24	-12.5574508237285	1.19057004719559	FALSE	27
MSTRG.37884.1	453.797070194611	-8.09393489522443	0.762441655010371	2.51605674666462e-26	6.17134804455118e-23	-7.94700959372601	0.768385070072958	TRUE	28
rna-ELECO.r07.8BG0641990.1	14784.3548770389	-6.66101352986636	0.633149486450535	6.95452998520855e-26	1.64697658732467e-22	-6.536139228824	0.645875360441538	FALSE	29
rna-ELECO.r07.9AG0693340.1	12570.503510628	-9.42665150388736	0.897535537970794	8.38401155967625e-26	1.91932381965148e-22	-9.20534646903772	0.978967697028144	FALSE	30
rna-ELECO.r07.1AG0044510.1	4399.82297658421	-5.82656124901283	0.558309509520884	1.69677872705473e-25	3.75907643279563e-22	-5.72040837786611	0.563035670487456	FALSE	31
MSTRG.21694.1	550.856323855022	-9.67388643244236	0.933136058991578	3.50096505704979e-25	7.51372744337705e-22	-9.49006726510779	0.93363185352189	TRUE	32
rna-ELECO.r07.1AG0031360.1	22095.843409613	-9.60005448839045	0.926465001114219	3.69060413729393e-25	7.68070639215372e-22	-9.37254252897186	1.03329800864643	FALSE	33
rna-ELECO.r07.3AG0239330.1	2248.20852152465	-6.51251225524608	0.633334626735372	8.41626104600561e-25	1.70003522387522e-21	-6.38630351074065	0.644677372149791	FALSE	34
rna-ELECO.r07.2AG0116270.1	577.271165109074	-8.48745820317903	0.835450535427796	3.01728841120537e-24	5.9206095287075e-21	-8.31323772973658	0.858181157723672	FALSE	35
MSTRG.22414.1	8615.60642656479	-5.70085106257917	0.56151339259479	3.22473144047749e-24	6.15189182969759e-21	-5.59063270397193	0.566642210996412	FALSE	36
MSTRG.21925.2	2082.42125063967	-5.88918900871566	0.583400042136869	5.83696245991685e-24	1.08343488600586e-20	-5.77354498610977	0.589455533007956	FALSE	37
rna-ELECO.r07.8AG0614730.1	24044.8087330478	-5.67736408300348	0.563340772695498	6.90989630426286e-24	1.24883646943201e-20	-5.56551261023269	0.56882279137232	FALSE	38
MSTRG.13407.1	2689.5053279076	5.88960700493419	0.584576365223365	7.12606386213983e-24	1.2548815741642e-20	5.77974401693344	0.590222514977546	FALSE	39
rna-ELECO.r07.4BG0332100.1	9654.698084723	-6.37070913603129	0.63791224853724	1.74092325248216e-23	2.98907817834925e-20	-6.23888434866451	0.651777070274562	FALSE	40
rna-ELECO.r07.5AG0380200.1	2330.52404589347	-5.95989248047567	0.597790775946267	2.06512308296353e-23	3.45923227053095e-20	-5.83799802631288	0.605813972811684	FALSE	41
MSTRG.46248.1	1787.16751468687	-6.06581724963941	0.61268741799102	4.14838540622913e-23	6.78340030783343e-20	-5.94058802532538	0.622259961028547	FALSE	42
rna-ELECO.r07.UnG0727650.1	2094.57387558105	-9.53285346454507	0.966264426286932	5.86370899338777e-23	9.36529781971826e-20	-9.2931829582824	1.06199906295524	FALSE	43
rna-ELECO.r07.4AG0301390.1	6800.87272929098	-6.68895782792551	0.682721139123607	1.15410795751483e-22	1.8014051433228e-19	-6.54380956932951	0.704246821391912	FALSE	44
rna-ELECO.r07.9AG0693350.1	9753.08614998658	-8.525597139705	0.872286955260569	1.45811483313583e-22	2.22534245578006e-19	-8.30984848837235	0.953094189709513	FALSE	45
rna-ELECO.r07.7AG0569670.1	7218.26180564779	-5.42918581436159	0.558146430644382	2.30925719280785e-22	3.44772098886212e-19	-5.31523632521281	0.56334842756819	FALSE	46
rna-ELECO.r07.2BG0192880.1	2799.67116604058	5.59296236799057	0.576369398753318	2.90528502312826e-22	4.24530137911495e-19	5.48228042289156	0.582117321675816	FALSE	47
MSTRG.46134.1	3862.03781684756	-5.88987976644186	0.60841950827453	3.64488757143559e-22	5.21507476314695e-19	-5.76320932816419	0.618350907320883	TRUE	48
MSTRG.45015.1	311.315467451941	-7.43231845522403	0.768296026416817	3.89752916914514e-22	5.46274506690918e-19	-7.27122515394201	0.777351701320154	FALSE	49
rna-ELECO.r07.1AG0001160.1	2493.72813376609	7.67386609166145	0.793850995409504	4.17901754027141e-22	5.74013133261519e-19	7.50370218772082	0.832548565994396	FALSE	50
rna-ELECO.r07.5BG0434930.1	32871.9628742539	-6.56484388667995	0.679668889276067	4.50741363078562e-22	6.06980692813911e-19	-6.41575652582885	0.701161015323259	FALSE	51
rna-ELECO.r07.2AG0112850.1	24786.2128188721	-8.49973053879431	0.880372632102	4.69547731428313e-22	6.20146136519879e-19	-8.27449592186373	0.96351910285257	FALSE	52
rna-ELECO.r07.2BG0201870.1	425.45948635597	-8.79358505807405	0.911204955251792	4.89157783933435e-22	6.33856194056235e-19	-8.59819230502003	0.924532739602885	FALSE	53
MSTRG.44824.4	3330.28711680706	-7.89518116137253	0.818363399801972	5.03565009613697e-22	6.40441439449065e-19	-7.70055390244403	0.874270448172511	FALSE	54
rna-ELECO.r07.2BG0170030.1	1784.51729499408	-11.2808687148985	1.17280153277255	6.66448438701533e-22	8.32188106784434e-19	-10.9876267797227	1.27220467296163	FALSE	55
rna-ELECO.r07.5BG0423710.1	601.511453026737	-6.27255787513148	0.653299654654715	7.89049856128581e-22	9.6768510748569e-19	-6.13958378078076	0.66340441620502	FALSE	56
rna-ELECO.r07.6AG0543460.1	547.922756427657	-5.92450161782904	0.617987946161336	9.08952367852425e-22	1.09517597753279e-18	-5.79610715303275	0.624543706009221	FALSE	57
rna-ELECO.r07.8BG0655170.1	2127.25663431873	5.73361706299434	0.598220369656775	9.29457733151355e-22	1.10057410685119e-18	5.61778406699494	0.60605346170414	FALSE	58
MSTRG.45221.1	304.19179402474	-6.90146399012176	0.720268731038763	9.53770319243596e-22	1.11022098279681e-18	-6.75029281007427	0.727671652708612	TRUE	59
MSTRG.44824.5	2558.92050586567	-15.4170132558815	1.61395804251865	1.26846918341175e-21	1.4519321096392e-18	-16.9770669661361	3.86459009484696	FALSE	60
MSTRG.38270.1	20516.796330094	5.96472282786623	0.625606472605945	1.50893078303681e-21	1.69885816913774e-18	5.83913786650114	0.638513138988322	FALSE	61
rna-ELECO.r07.7BG0588750.1	484.303783263198	-6.7416926350647	0.708934713729682	1.91378687300827e-21	2.11992023974939e-18	-6.58836316151804	0.722189629486347	FALSE	62
rna-ELECO.r07.5BG0429940.1	2290.80327051921	-7.14064703878994	0.753689738992753	2.68676942064912e-21	2.92891984557683e-18	-6.96976984305664	0.787628568810599	FALSE	63
MSTRG.42042.4	1823.46116675153	-6.77993985709134	0.722048621054876	6.00765915782669e-21	6.44678149439409e-18	-6.61668709224352	0.749840823263236	FALSE	64
rna-ELECO.r07.9BG0712920.1	820.883967315481	-5.64907268527942	0.602061417634518	6.41921385941052e-21	6.78244260671685e-18	-5.52210178165642	0.608973976074827	FALSE	65
rna-ELECO.r07.1BG0084080.1	24544.7302566906	-5.18689843909547	0.553715444506629	7.4310194774322e-21	7.73253872228922e-18	-5.0700916047964	0.559057480402606	FALSE	66
rna-ELECO.r07.6AG0528820.1	1270.44758090475	-6.25386169150729	0.668517770340802	8.37442180743446e-21	8.5841573267311e-18	-6.10769763714462	0.685214958721399	FALSE	67
rna-ELECO.r07.4BG0346030.1	39907.1596360155	-8.22945113916034	0.880597607136754	9.16270571782472e-21	9.11994642447488e-18	-8.00225507863532	0.963768810621904	FALSE	68
rna-ELECO.r07.8BG0654370.1	2744.64835583447	-5.60185355929865	0.599417142300529	9.14553763953856e-21	9.11994642447488e-18	-5.47363087393055	0.608601908652559	FALSE	69
rna-ELECO.r07.5BG0425580.1	327.905913029103	-6.32837856062236	0.678442488044638	1.08087052956864e-20	1.06045751756735e-17	-6.1823085841009	0.68682255795977	FALSE	70
MSTRG.44824.6	2001.78640506204	-15.0729922830472	1.61984671250553	1.33744546799625e-20	1.29370535001474e-17	-16.6396898272658	3.84843651564332	FALSE	71
rna-ELECO.r07.8BG0653210.1	4666.98632395464	-5.84748187228203	0.629479501197179	1.55172097373754e-20	1.4801262921437e-17	-5.70956851628618	0.642918358077828	FALSE	72
rna-ELECO.r07.8AG0614520.1	5277.5964311868	-5.65757416774762	0.613110739654952	2.76622267137764e-20	2.60244713184758e-17	-5.52242378535517	0.62442167698547	FALSE	73
rna-ELECO.r07.4BG0340130.1	5867.8496840687	-5.51092493548884	0.597689805351814	2.96059293436933e-20	2.7476702911705e-17	-5.38120961555422	0.60730915409601	FALSE	74
MSTRG.8267.6	4075.63100068311	14.8531813536488	1.61360831205734	3.4183522132179e-20	3.13020791065839e-17	16.3074781009714	3.64746316770088	TRUE	75
MSTRG.6766.2	631.589141292833	-6.88340138021653	0.748311033509804	3.62699907875425e-20	3.27756635171953e-17	-6.70938161771696	0.774320994987426	FALSE	76
MSTRG.44824.2	2528.93121275592	-7.09539812751884	0.774836317585657	5.32186531047028e-20	4.74668916613608e-17	-6.9112449058469	0.817799880363761	FALSE	77
rna-ELECO.r07.6BG0459650.1	37922.6030444139	-5.13623663468947	0.561469646705513	5.8081191956824e-20	5.11397448873174e-17	-5.01488534125239	0.567723989043587	FALSE	78
MSTRG.44134.2	940.235373533837	-7.19422722999092	0.789397248741685	7.97146160155249e-20	6.92992455533445e-17	-7.00429186372615	0.828586480434357	TRUE	79
MSTRG.36391.1	1396.02497567192	-7.80656713652666	0.857650311520169	8.84608806292874e-20	7.59414544982275e-17	-7.59021425716854	0.922405898916352	FALSE	80
MSTRG.40101.1	1646.88687429361	-14.723720411826	1.61816428812035	9.114475702619e-20	7.72795015190701e-17	-16.2250884355465	3.80289603796864	FALSE	81
rna-ELECO.r07.5AG0400080.1	7968.21268761574	-5.94223754457544	0.654226410648549	1.0577250192806e-19	8.73624865360191e-17	-5.79372762283939	0.671917345551431	FALSE	82
rna-ELECO.r07.7BG0591310.1	991.637812942073	5.73846512306918	0.631710621298237	1.04647389846764e-19	8.73624865360191e-17	5.60392507310364	0.64064556528044	FALSE	83
MSTRG.46044.1	349.011469288854	-8.19727488092602	0.902610631371656	1.06852978668942e-19	8.73624865360191e-17	-7.98501242394212	0.927938795784538	TRUE	84
rna-ELECO.r07.1AG0014620.1	1150.36375448761	-10.8390867911666	1.19373413732924	1.08590877505549e-19	8.77388739450128e-17	-10.5179801821472	1.29683703735607	FALSE	85
MSTRG.46244.1	41399.9550016408	-7.90762230875099	0.872197158703338	1.23099651703584e-19	9.83050916244042e-17	-7.6701628123345	0.959178997586214	FALSE	86
MSTRG.31577.1	912.123479126075	-5.49537070774123	0.607321019912705	1.44887865623592e-19	1.14374814198816e-16	-5.36206918811349	0.616090929252435	FALSE	87
rna-ELECO.r07.9AG0677680.1	8415.19280324443	-5.55335355979667	0.616257544300092	2.03411460485564e-19	1.58748775945768e-16	-5.42331555677857	0.627782323882821	FALSE	88
rna-ELECO.r07.1BG0078440.1	844.542601997304	-8.28943940259867	0.924505382258488	3.06501183381748e-19	2.36515598565076e-16	-8.05231323791563	0.988776107374956	FALSE	89
MSTRG.37475.1	832.590119060597	-5.60075340169077	0.629872046162906	6.00777644282229e-19	4.5844674504461e-16	-5.45884660201332	0.641292025600511	TRUE	90
rna-ELECO.r07.3AG0208550.1	930.081670275962	-6.73393887057121	0.757534954921298	6.15072182518116e-19	4.64197003856914e-16	-6.55292817836772	0.791014627763206	FALSE	91
rna-ELECO.r07.5AG0392370.1	3042.08785558475	-5.02260375114472	0.565316169837388	6.41555421909831e-19	4.75695826707231e-16	-4.89837200486579	0.571802591823736	FALSE	92
rna-ELECO.r07.7BG0601480.1	6103.2080477629	-4.99772170031521	0.562544121849551	6.44161330903236e-19	4.75695826707231e-16	-4.87679036982899	0.570164218726301	FALSE	93
MSTRG.7205.1	2825.90060355603	-7.99279040433775	0.900714745381552	7.06717969336385e-19	5.16340177639194e-16	-7.7473630745615	0.989772769061158	FALSE	94
MSTRG.19805.2	968.151608567504	-6.42583400226876	0.725765865316029	8.45385781969413e-19	6.11151628779951e-16	-6.25363402667196	0.75253083064393	FALSE	95
rna-ELECO.r07.6AG0539850.1	942.280180737868	-5.45947963773852	0.616983986362244	8.85787974103435e-19	6.33689025890372e-16	-5.32110216049872	0.627266231939924	FALSE	96
MSTRG.25596.1	2773.38745748776	-4.95392056762099	0.56334628831135	1.44662624593099e-18	1.02424120946442e-15	-4.8279144915897	0.569727691231486	FALSE	97
MSTRG.16057.1	1645.75181291635	-5.26864902469316	0.60100140001896	1.8438711844786e-18	1.29217740007777e-15	-5.13228096217335	0.610617667673094	FALSE	98
rna-ELECO.r07.1AG0039860.1	2535.82827077502	14.1430690820077	1.61380232367366	1.88747266372123e-18	1.30937219797017e-15	15.508666392013	3.60335736608718	FALSE	99
rna-ELECO.r07.6AG0507570.1	36178.4638671115	-4.92750289845242	0.563673315597676	2.29484807494915e-18	1.56045124842929e-15	-4.80072603214012	0.570595175072349	FALSE	100
rna-ELECO.r07.9AG0681440.1	90085.4653229532	8.53881220400661	0.976742779568178	2.28756359349181e-18	1.56045124842929e-15	8.2575584601395	1.11586142115968	FALSE	101
rna-ELECO.r07.1BG0051080.1	15426.9349715908	-5.38758711004707	0.620305651023975	3.77495400349925e-18	2.54172834365021e-15	-5.243430369882	0.633755107558241	FALSE	102
rna-ELECO.r07.2BG0195640.1	264.131220037079	-7.88843428355776	0.909418140045352	4.16631001595581e-18	2.777998439571e-15	-7.66614659672378	0.938706012994576	FALSE	103
MSTRG.35353.4	1150.01222663727	-5.60008830553278	0.645762556193542	4.24391139256682e-18	2.802532179026e-15	-5.45027862390466	0.660419038322093	FALSE	104
rna-ELECO.r07.5BG0457280.1	263.714026399878	-6.70320063270495	0.773374136075933	4.4181040220358e-18	2.88977664786071e-15	-6.52160438547436	0.791615228354913	FALSE	105
MSTRG.45559.1	786.303666062051	-6.13278215127989	0.709216720177293	5.27501850136635e-18	3.41771434563055e-15	-5.9625212569308	0.732904637732571	TRUE	106
rna-ELECO.r07.4BG0333730.1	455.810148021237	-5.88686511958088	0.681217173471265	5.53893352628075e-18	3.55516707213e-15	-5.7278480297905	0.696442434204191	FALSE	107
rna-ELECO.r07.2BG0168820.1	247.832329333129	-6.08114928816641	0.705167848273787	6.4830176001917e-18	4.1225989143145e-15	-5.9169305375856	0.715026144432787	FALSE	108
rna-ELECO.r07.5BG0417050.1	1700.81054725148	-10.7505020533256	1.25181228141513	8.85343063855042e-18	5.52759917631242e-15	-10.3582793916809	1.4299379684683	FALSE	109
rna-ELECO.r07.9BG0701400.1	7209.29473649038	-5.37836329660053	0.626229420647293	8.81219683667678e-18	5.52759917631242e-15	-5.23128907031045	0.640542261538347	FALSE	110
MSTRG.29697.1	580.070235546827	-5.46742977444677	0.636811001851804	9.0332414876265e-18	5.53915141863583e-15	-5.31787161938493	0.647981809625174	TRUE	111
rna-ELECO.r07.6BG0480560.1	333.982397441246	-7.26446284983751	0.846020765144522	8.95615493879628e-18	5.53915141863583e-15	-7.0559305639298	0.878515273917312	FALSE	112
MSTRG.16254.1	2172.28219719183	7.33024662851902	0.855950491415859	1.09143222259478e-17	6.63339665339505e-15	7.11046251509316	0.911936488149161	TRUE	113
rna-ELECO.r07.8BG0642340.1	5645.95732004806	-5.87990843586397	0.69243793736121	2.03805249532654e-17	1.22780148485997e-14	-5.70910124313138	0.718293531334342	FALSE	114
rna-ELECO.r07.1AG0027960.1	236.278387654186	-5.83447474362323	0.687390988026017	2.10486731255489e-17	1.25702675905778e-14	-5.67334100702675	0.696881869375892	FALSE	115
MSTRG.2880.1	239.680535789669	-6.56212241520864	0.773781778009132	2.24063787033174e-17	1.32657351429865e-14	-6.37748697286037	0.791489761152931	TRUE	116
MSTRG.6882.5	800.632744789006	-5.38690306152724	0.635545008927102	2.32994524338474e-17	1.36765794380493e-14	-5.23256127770689	0.647702810079318	FALSE	117
MSTRG.39038.1	8526.9123456864	-4.90520315427137	0.579123745016996	2.4530198616621e-17	1.42769913609517e-14	-4.77004916198561	0.587819610264735	FALSE	118
MSTRG.38409.1	174.860105588828	-8.08462828596024	0.954616396430017	2.47548687143942e-17	1.42866796098081e-14	-7.85889569006178	0.95737060185118	FALSE	119
MSTRG.5159.2	4658.26058806017	6.34452220606429	0.74927371220291	2.50580847208949e-17	1.43411595205135e-14	6.16263958947586	0.78642981447781	FALSE	120
rna-ELECO.r07.8BG0663530.1	2730.25262619826	-7.7037292546377	0.911688637649408	2.91411583830363e-17	1.65401361605799e-14	-7.44642691701098	1.00348925794428	FALSE	121
MSTRG.10057.1	207.489067922105	-6.21221594293278	0.735362407636814	2.96769381590556e-17	1.65779510760337e-14	-6.03847713661086	0.747553628954473	TRUE	122
rna-ELECO.r07.9BG0719110.1	5654.23350603186	-9.08427559565747	1.07534528728818	2.96905556706973e-17	1.65779510760337e-14	-8.711200815596	1.28764562361282	FALSE	123
MSTRG.1423.3	454.149662423079	-6.57316007742503	0.779048118725168	3.24405134163963e-17	1.79673353258973e-14	-6.37779817690902	0.811359008170261	TRUE	124
rna-ELECO.r07.2AG0116210.1	793.919800074647	-13.6924015794812	1.62567441120666	3.68227118202894e-17	2.02312816191507e-14	-15.0566789639762	3.69473908719808	FALSE	125
rna-ELECO.r07.1AG0028060.1	461.735117502161	-6.98543100987546	0.829886195296819	3.85141632099785e-17	2.09926642931341e-14	-6.76959248473066	0.874818944802133	FALSE	126
rna-ELECO.r07.5BG0412740.1	2865.80892661566	9.62205452023031	1.1457053844958	4.5272958400251e-17	2.44823325749011e-14	9.27180137527785	1.33808742907118	FALSE	127
rna-ELECO.r07.7BG0608090.1	217.045950433845	-7.57845331399287	0.90490654223739	5.52959354501362e-17	2.96688613659723e-14	-7.35017135161468	0.931201925975754	FALSE	128
MSTRG.24966.1	375.63642521218	-6.89722050127249	0.823991718340778	5.73755488645445e-17	3.05460305807689e-14	-6.68741069516673	0.859039515300028	FALSE	129
MSTRG.11728.1	46404.3239492939	-4.83738260804317	0.578103396041867	5.87651111056442e-17	3.10451561577956e-14	-4.70154237827584	0.586937333068187	FALSE	130
rna-ELECO.r07.5BG0448740.1	6090.43443643972	-5.6812016733849	0.679320874006014	6.11117755242728e-17	3.2038431446229e-14	-5.5110858194717	0.703075463983192	FALSE	131
MSTRG.42042.5	1070.33941603353	-5.55034605605684	0.664340893009007	6.56182913650147e-17	3.41404016239885e-14	-5.3858558214789	0.68202947294865	FALSE	132
MSTRG.17319.1	5570.92172593995	-7.42912290829002	0.89124671425273	7.70719639415364e-17	3.97981078163672e-14	-7.16632888288227	0.98344410684671	TRUE	133
rna-ELECO.r07.8AG0634580.1	2505.37039287482	-7.94512719683506	0.953732137716953	8.04577082224054e-17	4.12363767559579e-14	-7.65820321842154	1.06517391556958	FALSE	134
MSTRG.14164.2	687.369618983595	-5.76558762507434	0.692379827753794	8.27744878967615e-17	4.21095279983243e-14	-5.59553215836609	0.71334763148317	FALSE	135
rna-ELECO.r07.1BG0093780.1	458.545286751155	-6.79020114929434	0.816077694957505	8.75688459926437e-17	4.42209794491381e-14	-6.58111702471835	0.856412704617086	FALSE	136
rna-ELECO.r07.2BG0166120.1	9839.20174152714	-4.5964659257067	0.552715248770138	9.08626328720254e-17	4.54916802738168e-14	-4.46766063646159	0.559075697882636	FALSE	137
rna-ELECO.r07.5AG0388050.1	62746.9887615541	-6.82540820305625	0.82081110506362	9.14099402688885e-17	4.54916802738168e-14	-6.59759699718692	0.884682242911103	FALSE	138
MSTRG.26348.1	983.568791623348	-4.84934865322065	0.583239366757269	9.21333255403833e-17	4.55218167731111e-14	-4.71304879651157	0.591098353898181	TRUE	139
rna-ELECO.r07.2AG0137100.1	348.089584152646	-6.19778456130597	0.74615561910748	9.87411825756694e-17	4.84381924066559e-14	-6.00982321988792	0.76993689934407	FALSE	140
rna-ELECO.r07.1BG0091920.1	485.741982074167	-5.85460581767669	0.705265668173047	1.02998052716887e-16	4.98147905950027e-14	-5.67939575846514	0.725771623154851	FALSE	141
