transcript_id	baseMean	log2FoldChange_MLE	lfcSE_MLE	stat	pvalue	padj	log2FoldChange_apeglm	lfcSE_apeglm	is_novel_class_u	zero_in_all_controls	ctrl_raw_sum	drt_raw_sum	ctrl_n_nonzero	rank_by_padj
MSTRG.45758.1	535.802250918669	3.14335492079964	0.236445576528879	13.2942005807231	2.50132266517297e-40	9.24972285755333e-38	3.11429744897577	0.237045623715066	TRUE	FALSE	224	4711	3	208
MSTRG.6647.1	356.99811392159	3.35525564615868	0.252557483543391	13.2851167151506	2.82417738120533e-40	1.03936484033574e-37	3.323521714475	0.253064076877937	TRUE	FALSE	131	3117	3	209
MSTRG.20738.1	545.587364548873	2.5871256073749	0.195049060771668	13.2639736748258	3.745130789024e-40	1.36523329336189e-37	2.5649764742846	0.195417797863398	TRUE	FALSE	320	4502	3	211
MSTRG.31255.1	575.614429709563	4.43407510951621	0.359650401024277	12.3288479503653	6.33458977289796e-35	1.56165910757049e-32	4.38160536073122	0.361069327250755	TRUE	FALSE	105	5533	3	312
MSTRG.8267.6	4075.63100068311	14.8765125678367	1.26675375323836	11.743807768326	7.59865527325786e-32	1.54401305970833e-29	16.437111558933	3.49255344622442	TRUE	TRUE	0	38140	0	378
MSTRG.4687.1	1797.06806248593	3.49931084751498	0.303849305916886	11.5165997728893	1.08821012756104e-30	2.0365415664626e-28	3.45524718178864	0.305081422555058	TRUE	FALSE	612	16142	3	411
MSTRG.14874.2	434.839263401878	3.011512766222	0.265916361771842	11.3250374898176	9.86366636860906e-30	1.72428096835069e-27	2.97356322782101	0.267078812805542	TRUE	FALSE	195	3803	3	440
MSTRG.4655.1	763.811396720469	2.0246122812168	0.179928200365897	11.2523344150589	2.25542420174113e-29	3.88099470526448e-27	2.00359626503715	0.18017976166238	TRUE	FALSE	619	6079	3	447
MSTRG.14681.1	6334.91469934877	2.47816448542375	0.225209711407289	11.0038082724684	3.66327219839448e-28	5.56853572497843e-26	2.44805339115611	0.22586233970975	TRUE	FALSE	3993	51570	3	506
MSTRG.18418.1	244.414152283954	3.16789924379937	0.294651175242189	10.7513545167282	5.83976683487646e-27	8.02102402925343e-25	3.12282512176368	0.295575448280404	TRUE	FALSE	101	2128	3	560
