transcript_id	baseMean	log2FoldChange_MLE	lfcSE_MLE	pvalue	padj	log2FoldChange_apeglm	lfcSE_apeglm	is_novel_class_u	rank_by_padj
MSTRG.8267.6	4075.63100068311	14.8531813536488	1.61360831205734	3.4183522132179e-20	3.13020791065839e-17	16.3074781009714	3.64746316770088	TRUE	75
MSTRG.16254.1	2172.28219719183	7.33024662851902	0.855950491415859	1.09143222259478e-17	6.63339665339505e-15	7.11046251509316	0.911936488149161	TRUE	113
MSTRG.6134.1	2736.82609731732	8.5430540114375	1.10549310716986	1.09402125996565e-14	3.6473394219379e-12	8.18645959542184	1.29443983513683	TRUE	206
MSTRG.26348.2	556.516683326931	12.0013525197179	1.63263974485713	1.96893802728263e-13	4.72806733698309e-11	13.0880158314508	3.40579910556677	TRUE	286
MSTRG.32660.3	383.722230551375	11.333532846752	1.65390747630834	7.25299373891752e-12	1.11436488590912e-09	12.4264179445663	3.39580121043194	TRUE	447
MSTRG.36924.3	388.400275954343	11.3022137791972	1.65132735112603	7.68396726596554e-12	1.17010976472723e-09	12.4520489778955	3.40975704542399	TRUE	451
MSTRG.12013.2	331.754231003615	11.2301591381078	1.65043822866062	1.01506582805044e-11	1.47696379107729e-09	12.2348781257187	3.35146475465372	TRUE	472
MSTRG.31255.1	575.614429709563	4.42735269538815	0.658323214595055	1.75356152847435e-11	2.38950592564606e-09	4.24448020517534	0.676878824874821	TRUE	504
MSTRG.42967.1	362.335724519109	11.1522829230557	1.66331160940152	2.01590054937521e-11	2.69354120486364e-09	12.2721918478698	3.40734731388965	TRUE	514
MSTRG.45486.4	293.199591161118	11.0660773802977	1.65458422747005	2.26037528771663e-11	2.97390908064756e-09	12.0239655774793	3.33338880714442	TRUE	522
MSTRG.45663.1	471.300644053498	11.2698556056193	1.69874626338636	3.26224045684408e-11	4.05143128562636e-09	12.6761333520523	3.52483715419839	TRUE	553
MSTRG.34205.1	2100.31962152914	4.15632674800988	0.631136233112059	4.53458230428144e-11	5.41285614886541e-09	3.96454056867219	0.649567039744453	TRUE	575
MSTRG.11970.2	342.718737717948	10.960076134386	1.6647131282713	4.58689139455426e-11	5.45014752932868e-09	12.1854677886024	3.42969776556322	TRUE	578
MSTRG.38687.2	255.861073492006	10.8646106536024	1.66081980411565	6.08171173079532e-11	7.01982854197581e-09	11.7790910016617	3.3182886924128	TRUE	595
MSTRG.12928.4	252.616016269405	10.8568576367126	1.6618156892871	6.44092662680593e-11	7.34800596139165e-09	11.7706790323398	3.31590331112445	TRUE	602
MSTRG.26934.1	323.322351419221	10.8404951091427	1.66697301891109	7.86805522949938e-11	8.81504562889981e-09	12.0072840314162	3.41933956902314	TRUE	613
MSTRG.15372.6	241.158976311569	10.7977571279266	1.66412862011065	8.66749085407653e-11	9.5486770185334e-09	11.6980854324267	3.30904608600747	TRUE	624
MSTRG.8020.1	235.260785141416	10.7598518683407	1.66553447215568	1.04495814540694e-10	1.12418400395163e-08	11.6522675657463	3.30692190287339	TRUE	638
MSTRG.23417.1	235.76352093093	10.7252264484641	1.66740765565016	1.25707108309192e-10	1.31806302052804e-08	11.6482552918422	3.32501828133735	TRUE	655
MSTRG.30897.1	337.323175892867	4.58575163955932	0.715567886162914	1.46911363842415e-10	1.50815824304475e-08	4.37204627968321	0.740610526079743	TRUE	669
MSTRG.906.1	185.663823448302	7.52056723316402	1.17419387726596	1.50490758244631e-10	1.53572129193533e-08	7.18096831178564	1.21802721223914	TRUE	671
MSTRG.4219.3	230.981436866597	10.6858345074129	1.66834749674466	1.50328748420877e-10	1.53572129193533e-08	11.6118871580135	3.31886118165699	TRUE	672
MSTRG.45730.6	237.82774744155	10.6715143873085	1.66646433581588	1.51669850476743e-10	1.54316770237655e-08	11.6001193165055	3.32712286467594	TRUE	674
MSTRG.45098.4	225.36038127379	10.6565725064552	1.66938251104599	1.73038694903659e-10	1.7374198082739e-08	11.5520764157728	3.31121840165619	TRUE	684
MSTRG.24033.4	224.391861074505	10.6595920936405	1.67006648235064	1.73952577429555e-10	1.74404600185503e-08	11.5568129041877	3.31066043721682	TRUE	685
MSTRG.24065.2	315.123044720151	10.6505901379155	1.67286047424412	1.93146418167153e-10	1.91412838483171e-08	11.8555614436144	3.44499982943381	TRUE	693
MSTRG.36924.2	953.918363675954	11.3088922727782	1.77905946062287	2.06175478503528e-10	2.01705406163323e-08	13.4006299738974	3.82970409627725	TRUE	702
MSTRG.19026.1	249.559883238245	8.89360687868708	1.40006634974215	2.12153208088201e-10	2.0725829338665e-08	8.70990953384557	1.61580626933312	TRUE	703
MSTRG.20215.1	239.878173064828	10.6050695951415	1.67502407521631	2.43113861808134e-10	2.33845571446205e-08	11.5877752741238	3.34938792169534	TRUE	714
MSTRG.9649.1	207.675838263167	10.4864036633183	1.67465470692231	3.80484764684229e-10	3.48412435586446e-08	11.3800562114225	3.31200684069616	TRUE	750
MSTRG.19346.1	199.78860559397	10.4793375643271	1.67743194596269	4.17740811609665e-10	3.76503982411136e-08	11.3043067669745	3.2410581790245	TRUE	762
MSTRG.34236.1	196.693339833052	10.449651816654	1.67852545060959	4.80037933922817e-10	4.27047217952736e-08	11.336559627031	3.30444233331901	TRUE	772
MSTRG.15303.3	204.25521436252	10.4117066109153	1.67962674693403	5.68874565512475e-10	4.9392120619805e-08	11.3633359076205	3.33223614552368	TRUE	791
MSTRG.38105.1	195.821789661395	10.4065013903147	1.68199742965877	6.13238274583687e-10	5.26449727773231e-08	11.3288464268359	3.3090179818682	TRUE	800
MSTRG.28976.3	234.197426153024	9.29670526169949	1.50525632124056	6.56790468793643e-10	5.56877232293948e-08	8.8056198205622	1.63190737364146	TRUE	810
MSTRG.15621.1	186.671292082354	10.3808110187619	1.68222809052544	6.79152050033067e-10	5.7230434959719e-08	11.243561974299	3.30743201989779	TRUE	814
MSTRG.29028.3	243.190860331261	10.4547965155005	1.696564990717	7.16814219478916e-10	5.97764323270058e-08	11.5481050110865	3.39471167633269	TRUE	824
MSTRG.21588.2	185.742878689901	10.3490165263379	1.68338753166684	7.85983559495339e-10	6.48795419459386e-08	11.2268748779505	3.29813002816037	TRUE	832
MSTRG.39841.3	218.59778660958	10.437263269706	1.70253687303009	8.76482963346559e-10	7.17462419031168e-08	11.4797207466477	3.3498170432568	TRUE	839
MSTRG.35564.2	232.762368271208	10.4083906373594	1.70014027548984	9.23630392334353e-10	7.5336209126768e-08	11.5036553825892	3.39633381605607	TRUE	842
MSTRG.28438.2	175.039387061904	10.2559535055817	1.68854400160658	1.24883752671536e-09	9.80201870397226e-08	11.1001504411435	3.29592518138244	TRUE	875
MSTRG.9305.1	165.489570980282	10.2496997453793	1.68893847816716	1.28931319667599e-09	1.00736577612416e-07	11.0527549233434	3.27355011922044	TRUE	879
MSTRG.41216.1	254.69461131889	9.55222318923604	1.57715536102064	1.39015564123081e-09	1.07879219354181e-07	8.89319523830564	1.77274927144717	TRUE	885
MSTRG.23632.1	294.824472759318	9.03582025565707	1.49795902485005	1.61854861780393e-09	1.22691701957548e-07	8.46055301668309	1.72782268049279	TRUE	906
MSTRG.45730.4	181.929802430756	10.2020079146027	1.69714445776049	1.84065929232171e-09	1.36958612002243e-07	11.1384477531997	3.33705596244653	TRUE	923
MSTRG.44482.2	157.024695048117	10.1705984118653	1.69296884260452	1.88345371104517e-09	1.39839820505038e-07	10.9452008748906	3.26514324509234	TRUE	925
MSTRG.38964.2	162.139444339164	10.1587466001615	1.6927684266631	1.95789934392911e-09	1.44585603378886e-07	10.9875675105805	3.28609164456361	TRUE	930
MSTRG.42966.1	163.971499718634	10.1590574684664	1.69513060933326	2.05900418470987e-09	1.5140073811296e-07	10.9915031290789	3.29176217404051	TRUE	934
MSTRG.14474.2	190.606270933804	10.1798888499152	1.70052850311909	2.14656571781686e-09	1.56998765035385e-07	11.1529202419279	3.35200827608846	TRUE	939
