transcript_id	log2FC_old	log2FC_new_MLE	in_old_2354	in_new_2422
rna-ELECO.r07.1AG0000050.1	0.844845	0.667865	False	False
MSTRG.1.3	0.228221	0.238542	False	False
MSTRG.1.1	0.029346	0.032799	False	False
MSTRG.1.2	0.269866	0.263639	False	False
rna-ELECO.r07.1AG0000010.1	0.468283	0.477163	False	False
rna-ELECO.r07.1AG0000070.1	1.713731	1.655934	False	False
rna-ELECO.r07.1AG0000060.1	2.576519	2.559733	False	False
MSTRG.2.1	0.387529	0.394353	False	False
MSTRG.6.1	-0.875250	-0.867309	False	False
rna-ELECO.r07.1AG0000100.1	-1.876095	-1.866563	False	False
MSTRG.9.1	1.919878	1.913999	False	False
rna-ELECO.r07.1AG0000150.1	2.065669	1.899780	False	False
rna-ELECO.r07.1AG0000110.1	0.100520	0.082045	False	False
MSTRG.8.1	0.665903	0.662999	False	False
MSTRG.11.1	-1.584062	-1.616253	False	False
MSTRG.10.1	3.903325	3.884716	False	False
MSTRG.10.2	1.538397	1.546517	False	False
MSTRG.12.1	-1.968380	-1.957130	False	False
rna-ELECO.r07.1AG0000210.1	2.182430	2.173500	False	False
rna-ELECO.r07.1AG0000250.1	-0.770300	-0.761572	False	False
rna-ELECO.r07.1AG0000300.1	7.596629	4.318555	False	False
MSTRG.20.1	-0.099687	-0.082842	False	False
rna-ELECO.r07.1AG0000310.1	12.111806	7.387339	False	False
rna-ELECO.r07.1AG0000280.1	0.022860	0.032926	False	False
MSTRG.19.1	1.187287	1.194574	False	False
MSTRG.21.2	5.332153	5.116925	False	False
MSTRG.21.3	10.355641	7.266050	False	False
MSTRG.21.4	4.638590	4.616628	False	False
rna-ELECO.r07.1AG0000330.1	1.629600	1.627318	False	False
MSTRG.21.1	-25.421304	-6.224349	False	False
MSTRG.21.5	1.971586	1.977553	False	False
MSTRG.22.1	3.738620	3.516963	False	False
rna-ELECO.r07.1AG0000340.1	-1.279798	-1.064333	False	False
rna-ELECO.r07.1AG0000360.1	2.055219	2.019037	False	False
MSTRG.23.2	-25.598207	-6.488073	False	False
MSTRG.24.3	3.647452	3.613798	False	False
MSTRG.24.2	-0.548023	-0.538765	False	False
MSTRG.24.1	0.424698	0.429948	False	False
rna-ELECO.r07.1AG0000390.1	-2.152747	-2.139717	False	False
MSTRG.25.2	-0.782246	-0.769460	False	False
rna-ELECO.r07.1AG0000410.1	-1.588833	-1.568337	False	False
MSTRG.28.1	-2.081131	-1.969849	False	False
rna-ELECO.r07.1AG0000420.1	1.530462	1.513672	False	False
MSTRG.29.1	2.159632	2.151360	False	False
MSTRG.30.1	-0.900406	-0.897050	False	False
rna-ELECO.r07.1AG0000430.1	-8.682657	-3.712247	False	False
MSTRG.26.1	-0.009240	0.000544	False	False
MSTRG.26.2	-24.208990	-22.211129	False	False
rna-ELECO.r07.1AG0000400.1	-1.489921	-1.481470	False	False
MSTRG.31.1	-3.118066	-3.110091	False	False
MSTRG.32.1	-0.528201	-0.519777	False	False
rna-ELECO.r07.1AG0000460.1	0.543946	0.518498	False	False
MSTRG.33.1	2.710631	2.579057	False	False
rna-ELECO.r07.1AG0000480.1	0.214626	0.219934	False	False
rna-ELECO.r07.1AG0000490.1	2.412427	2.397379	False	False
MSTRG.36.1	-2.894427	-2.885179	False	False
MSTRG.36.2	-3.805618	-3.785810	False	False
