transcript_id,DRR095904,DRR095905,DRR095906,DRR095907,DRR095908,DRR095909
rna-ELECO.r07.1AG0000050.1,2,13,4,33,22,15
MSTRG.1.3,0,118,62,206,172,97
MSTRG.1.1,67,139,130,327,371,134
MSTRG.1.2,1,85,97,209,140,130
rna-ELECO.r07.1AG0000010.1,182,67,23,402,250,302
rna-ELECO.r07.1AG0000070.1,5,29,8,131,100,69
rna-ELECO.r07.1AG0000060.1,0,0,43,328,234,56
MSTRG.2.1,81,84,85,425,365,73
MSTRG.6.1,223,399,457,701,406,303
rna-ELECO.r07.1AG0000100.1,72,43,2,19,66,5
MSTRG.9.1,23,0,28,182,169,119
rna-ELECO.r07.1AG0000150.1,4,0,3,23,15,20
rna-ELECO.r07.1AG0000120.1,0,0,0,0,0,0
rna-ELECO.r07.1AG0000110.1,9,12,7,21,37,14
MSTRG.8.1,50,64,87,368,214,177
MSTRG.11.1,14,16,9,4,14,11
rna-ELECO.r07.1AG0000170.1,1,1,0,0,0,0
MSTRG.10.1,0,0,21,299,150,207
rna-ELECO.r07.1AG0000160.1,0,0,0,0,0,0
MSTRG.10.2,221,248,237,2298,1666,1065
rna-ELECO.r07.1AG0000190.1,0,0,0,1,1,2
MSTRG.12.1,72,145,151,97,66,56
rna-ELECO.r07.1AG0000210.1,18,40,11,347,244,155
rna-ELECO.r07.1AG0000250.1,182,332,187,445,353,200
rna-ELECO.r07.1AG0000300.1,0,0,0,7,6,9
MSTRG.20.1,0,10,14,25,21,6
rna-ELECO.r07.1AG0000310.1,0,0,0,102,94,26
rna-ELECO.r07.1AG0000280.1,276,298,228,786,738,457
MSTRG.19.1,122,83,113,728,612,424
MSTRG.21.2,0,0,4,126,111,69
MSTRG.21.3,0,0,0,36,133,28
MSTRG.21.4,0,0,11,73,295,162
rna-ELECO.r07.1AG0000330.1,0,0,83,251,144,159
MSTRG.21.1,14,0,0,0,0,0
MSTRG.21.5,114,72,19,868,804,414
MSTRG.22.1,0,6,4,118,102,57
rna-ELECO.r07.1AG0000340.1,5,1,0,3,3,1
rna-ELECO.r07.1AG0000360.1,0,11,24,115,111,81
MSTRG.23.2,17,0,0,0,0,0
MSTRG.24.3,0,0,15,134,205,77
MSTRG.24.2,190,50,148,191,227,211
MSTRG.24.1,131,349,222,708,659,700
rna-ELECO.r07.1AG0000390.1,228,400,350,248,184,103
MSTRG.25.2,60,85,101,191,99,63
rna-ELECO.r07.1AG0000410.1,18,58,67,45,47,20
MSTRG.28.1,2,24,1,5,3,5
rna-ELECO.r07.1AG0000420.1,0,0,13,0,24,42
MSTRG.29.1,31,37,32,473,362,234
MSTRG.30.1,0,34,41,37,32,21
rna-ELECO.r07.1AG0000430.1,13,1,1,1,1,1
