gene	sorghum	rice	foxtail	classification
MSTRG.333.1	YES	YES	YES	Pan-grass conserved
MSTRG.4687.1	NO	NO	NO	Eleusine-specific ⭐
MSTRG.6647.1	YES	YES	YES	Pan-grass conserved
MSTRG.14681.1	YES	NO	YES	Partially conserved
MSTRG.14874.2	YES	YES	YES	Pan-grass conserved
MSTRG.20738.1	YES	YES	YES	Pan-grass conserved
MSTRG.31255.1	NO	NO	NO	Eleusine-specific ⭐
MSTRG.36758.1	NO	NO	YES	Panicoideae-specific
MSTRG.45758.1	NO	NO	NO	Eleusine-specific ⭐
MSTRG.45757.2	NO	NO	NO	Eleusine-specific ⭐
