baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	transcript_id	drought_up	evalue	bitscore	annotation	candidate_tier	subject_id	pident	aln_length	evalue	bitscore	annotation	candidate_tier	candidate_tier_merge_results_py
2197.55599417858	2.58697933709119	0.147927922522468	17.4881069981786	1.76524111341428e-68	6.72909912433523e-66	MSTRG.20738.1	TRUE	2.19e-84	250.0	sp|Q9C8Z4|HEAT1_ARATH Uncharacterized protein At3g06530 OS=Arabidopsis thaliana OX=3702 GN=At3g06530 PE=1 SV=3	Tier 3 — Novel, other homolog	sp|Q9C8Z4|HEAT1_ARATH	39.401	401	2.19e-84	250.0	sp|Q9C8Z4|HEAT1_ARATH Uncharacterized protein At3g06530 OS=Arabidopsis thaliana OX=3702 GN=At3g06530 PE=1 SV=3	Tier 3 — Novel, other homolog	Tier 3 — Novel, other/no homolog
1212.21661430606	3.37385391052861	0.206041041240864	16.3746692902048	2.90079858491332e-60	8.70696394148786e-58	MSTRG.6647.1	TRUE				Tier 1 — Novel, no homolog, highly induced							Tier 1 — Novel, no homolog, highly induced	Tier 1 — Novel, no homolog, highly induced
11372.9313051869	4.45576873821256	0.274424992966051	16.2367453855188	2.77248496341639e-59	8.06771960346816e-57	MSTRG.31255.1	TRUE				Tier 1 — Novel, no homolog, highly induced							Tier 1 — Novel, no homolog, highly induced	Tier 1 — Novel, no homolog, highly induced
2035.14056456918	3.14294093788558	0.20184845855396	15.5707948448136	1.14969616919102e-54	2.8329783322689e-52	MSTRG.45758.1	TRUE	4.46e-72	225.0	sp|Q01910|TF107_SCHPM Transposon Tf1-107 polyprotein OS=Schizosaccharomyces pombe OX=4896 GN=Tf1-107 PE=1 SV=1	Tier 3 — Novel, other homolog	sp|Q01910|TF107_SCHPM	30.699	544	4.46e-72	225.0	sp|Q01910|TF107_SCHPM Transposon Tf1-107 polyprotein OS=Schizosaccharomyces pombe OX=4896 GN=Tf1-107 PE=1 SV=1	Tier 3 — Novel, other homolog	Tier 3 — Novel, other/no homolog
395.231133974032	2.9739495662494	0.209900867917455	14.1683528789358	1.43834684116919e-45	2.53841581413749e-43	MSTRG.36758.1	TRUE	5.52e-09	62.4	sp|Q9ZNQ3|FBLK3_ARATH F-box/LRR-repeat/kelch-repeat protein At2g27520 OS=Arabidopsis thaliana OX=3702 GN=At2g27520 PE=2 SV=1	Tier 3 — Novel, other homolog	sp|Q9ZNQ3|FBLK3_ARATH	28.814	236	5.52e-09	62.4	sp|Q9ZNQ3|FBLK3_ARATH F-box/LRR-repeat/kelch-repeat protein At2g27520 OS=Arabidopsis thaliana OX=3702 GN=At2g27520 PE=2 SV=1	Tier 3 — Novel, other homolog	Tier 3 — Novel, other/no homolog
86393.034889349	2.46956070868113	0.176475833693851	13.9937613949189	1.70168536590011e-44	2.86394022728972e-42	MSTRG.14681.1	TRUE	5.43e-13	68.9	sp|P93017|DRMH1_ARATH Dormancy-associated protein homolog 1 OS=Arabidopsis thaliana OX=3702 GN=DRMH1 PE=1 SV=1	Tier 3 — Novel, other homolog	sp|P93017|DRMH1_ARATH	78.947	38	5.43e-13	68.9	sp|P93017|DRMH1_ARATH Dormancy-associated protein homolog 1 OS=Arabidopsis thaliana OX=3702 GN=DRMH1 PE=1 SV=1	Tier 3 — Novel, other homolog	Tier 3 — Novel, other/no homolog
8423.52982481952	2.11025488188304	0.152870340623247	13.8042139062398	2.40380355596694e-43	3.83401638298995e-41	MSTRG.45757.2	TRUE				Tier 1 — Novel, no homolog							Tier 1 — Novel, no homolog	Tier 3 — Novel, other/no homolog
4031.62870472012	3.49604936140152	0.271463636787176	12.8785181056952	5.94663903724279e-38	7.38390488924089e-36	MSTRG.4687.1	TRUE	2.03e-106	207.0	sp|P0CT39|TF26_SCHPO Transposon Tf2-6 polyprotein OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=Tf2-6 PE=3 SV=1	Tier 3 — Novel, other homolog	sp|P0CT39|TF26_SCHPO	30.092	545	2.03e-106	207.0	sp|P0CT39|TF26_SCHPO Transposon Tf2-6 polyprotein OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=Tf2-6 PE=3 SV=1	Tier 3 — Novel, other homolog	Tier 3 — Novel, other/no homolog
1934.01653675352	2.05588415237572	0.159801716927957	12.8652194225333	7.06410370903772e-38	8.74297511001682e-36	MSTRG.333.1	TRUE	1.15e-40	80.5	sp|Q9FQ03|XRN3_ARATH 5'-3' exoribonuclease 3 OS=Arabidopsis thaliana OX=3702 GN=XRN3 PE=1 SV=1	Tier 2 — Novel, stress-related homolog	sp|Q9FQ03|XRN3_ARATH	85.714	42	1.15e-40	80.5	sp|Q9FQ03|XRN3_ARATH 5'-3' exoribonuclease 3 OS=Arabidopsis thaliana OX=3702 GN=XRN3 PE=1 SV=1	Tier 2 — Novel, stress-related homolog	Tier 2 — Novel, stress-related homolog
2496.35639937187	3.01007611541144	0.235972850126965	12.7560272878505	2.88545652034713e-37	3.4918603985915e-35	MSTRG.14874.2	TRUE	1.73e-34	145.0	sp|Q8VYB7|PGTA1_ARATH Geranylgeranyl transferase type-2 subunit alpha 1 OS=Arabidopsis thaliana OX=3702 GN=RGTA1 PE=1 SV=1	Tier 3 — Novel, other homolog	sp|Q8VYB7|PGTA1_ARATH	31.111	360	1.73e-34	145.0	sp|Q8VYB7|PGTA1_ARATH Geranylgeranyl transferase type-2 subunit alpha 1 OS=Arabidopsis thaliana OX=3702 GN=RGTA1 PE=1 SV=1	Tier 3 — Novel, other homolog	Tier 3 — Novel, other/no homolog
