transcript_id	subject_id	pident	aln_length	evalue	bitscore	annotation
MSTRG.10006.1						
MSTRG.1001.1						
MSTRG.10010.1						
MSTRG.10010.2						
MSTRG.10010.3						
MSTRG.1002.1						
MSTRG.10020.1	sp|F4KD38|NRPC2_ARATH	46.040	202	3.85e-36	156.0	sp|F4KD38|NRPC2_ARATH DNA-directed RNA polymerase III subunit 2 OS=Arabidopsis thaliana OX=3702 GN=NRPC2 PE=2 SV=1
MSTRG.10020.2	sp|F4KD38|NRPC2_ARATH	46.040	202	3.85e-36	156.0	sp|F4KD38|NRPC2_ARATH DNA-directed RNA polymerase III subunit 2 OS=Arabidopsis thaliana OX=3702 GN=NRPC2 PE=2 SV=1
MSTRG.10020.3	sp|F4KD38|NRPC2_ARATH	46.040	202	3.84e-36	156.0	sp|F4KD38|NRPC2_ARATH DNA-directed RNA polymerase III subunit 2 OS=Arabidopsis thaliana OX=3702 GN=NRPC2 PE=2 SV=1
MSTRG.10020.4	sp|F4KD38|NRPC2_ARATH	46.040	202	3.84e-36	156.0	sp|F4KD38|NRPC2_ARATH DNA-directed RNA polymerase III subunit 2 OS=Arabidopsis thaliana OX=3702 GN=NRPC2 PE=2 SV=1
MSTRG.10020.5	sp|F4KD38|NRPC2_ARATH	46.040	202	3.84e-36	156.0	sp|F4KD38|NRPC2_ARATH DNA-directed RNA polymerase III subunit 2 OS=Arabidopsis thaliana OX=3702 GN=NRPC2 PE=2 SV=1
MSTRG.10020.6	sp|F4KD38|NRPC2_ARATH	46.040	202	3.84e-36	156.0	sp|F4KD38|NRPC2_ARATH DNA-directed RNA polymerase III subunit 2 OS=Arabidopsis thaliana OX=3702 GN=NRPC2 PE=2 SV=1
MSTRG.10020.7	sp|F4KD38|NRPC2_ARATH	46.040	202	3.68e-36	156.0	sp|F4KD38|NRPC2_ARATH DNA-directed RNA polymerase III subunit 2 OS=Arabidopsis thaliana OX=3702 GN=NRPC2 PE=2 SV=1
MSTRG.10020.8	sp|F4KD38|NRPC2_ARATH	46.040	202	3.84e-36	156.0	sp|F4KD38|NRPC2_ARATH DNA-directed RNA polymerase III subunit 2 OS=Arabidopsis thaliana OX=3702 GN=NRPC2 PE=2 SV=1
MSTRG.10020.9	sp|F4KD38|NRPC2_ARATH	46.040	202	3.68e-36	156.0	sp|F4KD38|NRPC2_ARATH DNA-directed RNA polymerase III subunit 2 OS=Arabidopsis thaliana OX=3702 GN=NRPC2 PE=2 SV=1
MSTRG.10026.1	sp|Q9FGK8|SC16B_ARATH	54.630	108	8.67e-30	101.0	sp|Q9FGK8|SC16B_ARATH Protein transport protein SEC16B homolog OS=Arabidopsis thaliana OX=3702 GN=SEC16B PE=1 SV=1
MSTRG.10027.1	sp|Q8RWN9|ODP22_ARATH	89.189	37	7.94e-52	73.9	sp|Q8RWN9|ODP22_ARATH Dihydrolipoyllysine-residue acetyltransferase component 2 of pyruvate dehydrogenase complex, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At3g13930 PE=1 SV=2
MSTRG.10027.2	sp|Q8RWN9|ODP22_ARATH	89.189	37	7.94e-52	73.9	sp|Q8RWN9|ODP22_ARATH Dihydrolipoyllysine-residue acetyltransferase component 2 of pyruvate dehydrogenase complex, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At3g13930 PE=1 SV=2
MSTRG.10031.1	sp|Q5U2S3|ZUP1_RAT	30.888	259	6.74e-23	108.0	sp|Q5U2S3|ZUP1_RAT Zinc finger-containing ubiquitin peptidase 1 OS=Rattus norvegicus OX=10116 GN=Zup1 PE=2 SV=1
MSTRG.10031.2						
MSTRG.10043.1						
MSTRG.10043.2						
MSTRG.10044.1	sp|F4IV99|CHR5_ARATH	36.923	65	4.12e-06	47.0	sp|F4IV99|CHR5_ARATH Protein CHROMATIN REMODELING 5 OS=Arabidopsis thaliana OX=3702 GN=CHR5 PE=1 SV=1
MSTRG.10045.1						
MSTRG.10046.1						
MSTRG.10049.1	sp|Q8L7W8|FUCO2_ARATH	51.974	152	1.67e-72	157.0	sp|Q8L7W8|FUCO2_ARATH Alpha-L-fucosidase 2 OS=Arabidopsis thaliana OX=3702 GN=FUC95A PE=1 SV=1
MSTRG.10049.2	sp|Q8L7W8|FUCO2_ARATH	51.974	152	1.66e-72	157.0	sp|Q8L7W8|FUCO2_ARATH Alpha-L-fucosidase 2 OS=Arabidopsis thaliana OX=3702 GN=FUC95A PE=1 SV=1
MSTRG.10049.3	sp|Q8L7W8|FUCO2_ARATH	51.974	152	1.66e-72	157.0	sp|Q8L7W8|FUCO2_ARATH Alpha-L-fucosidase 2 OS=Arabidopsis thaliana OX=3702 GN=FUC95A PE=1 SV=1
MSTRG.10049.4	sp|Q8L7W8|FUCO2_ARATH	51.974	152	1.66e-72	157.0	sp|Q8L7W8|FUCO2_ARATH Alpha-L-fucosidase 2 OS=Arabidopsis thaliana OX=3702 GN=FUC95A PE=1 SV=1
MSTRG.10049.5	sp|Q8L7W8|FUCO2_ARATH	51.974	152	1.23e-72	157.0	sp|Q8L7W8|FUCO2_ARATH Alpha-L-fucosidase 2 OS=Arabidopsis thaliana OX=3702 GN=FUC95A PE=1 SV=1
MSTRG.10049.6	sp|Q8L7W8|FUCO2_ARATH	51.974	152	5.58e-73	157.0	sp|Q8L7W8|FUCO2_ARATH Alpha-L-fucosidase 2 OS=Arabidopsis thaliana OX=3702 GN=FUC95A PE=1 SV=1
MSTRG.1005.1						
MSTRG.10052.1						
MSTRG.10055.1						
MSTRG.10055.2						
